marca,codigo,parte_cuerpo,limite_inferior,limite_superior,talla,genero,prenda
Nike,nike,pecho,88,96,S,M,top
Nike,nike,cintura,73,81,S,M,top
Nike,nike,caderas,88,96,S,M,top
Nike,nike,pecho,96,104,M,M,top
Nike,nike,cintura,81,89,M,M,top
Nike,nike,caderas,96,104,M,M,top
Nike,nike,pecho,104,112,L,M,top
Nike,nike,cintura,89,97,L,M,top
Nike,nike,caderas,104,112,L,M,top
Nike,nike,pecho,112,124,XL,M,top
Nike,nike,cintura,97,109,XL,M,top
Nike,nike,caderas,112,120,XL,M,top
Nike,nike,pecho,124,136,2XL,M,top
Nike,nike,cintura,109,121,2XL,M,top
Nike,nike,caderas,120,128,2XL,M,top
Nike,nike,pecho,136,148,3XL,M,top
Nike,nike,cintura,121,133,3XL,M,top
Nike,nike,caderas,128,136,3XL,M,top
Nike,nike,pecho,147,160,4XL,M,top
Nike,nike,cintura,133,145,4XL,M,top
Nike,nike,caderas,136,148,4XL,M,top
Nike,nike,busto,76,83,XS,F,top
Nike,nike,cintura,60,67,XS,F,top
Nike,nike,caderas,84,91,XS,F,top
Nike,nike,busto,83,90,S,F,top
Nike,nike,cintura,67,74,S,F,top
Nike,nike,caderas,91,98,S,F,top
Nike,nike,busto,90,97,M,F,top
Nike,nike,cintura,74,81,M,F,top
Nike,nike,caderas,98,105,M,F,top
Nike,nike,busto,97,104,L,F,top
Nike,nike,cintura,81,88,L,F,top
Nike,nike,caderas,105,112,L,F,top
Nike,nike,busto,104,114,XL,F,top
Nike,nike,cintura,88,98,XL,F,top
Nike,nike,caderas,112,120,XL,F,top
Nike,nike,busto,114,124,XXL,F,top
Nike,nike,cintura,98,108,XXL,F,top
Nike,nike,caderas,120,128,XXL,F,top
Nike,nike,busto,114,124,1X,F,top
Nike,nike,cintura,104,114,1X,F,top
Nike,nike,caderas,120,128,1X,F,top
Nike,nike,busto,124,135,2X,F,top
Nike,nike,cintura,114,124,2X,F,top
Nike,nike,caderas,128,138,2X,F,top
Nike,nike,busto,134,144,3X,F,top
Nike,nike,cintura,124,134,3X,F,top
Nike,nike,caderas,138,148,3X,F,top
Nike,nike,cintura,0,73,XS,M,inferior
Nike,nike,caderas,0,88,XS,M,inferior
Nike,nike,largo_pierna,82,82,XS,M,inferior
Nike,nike,cintura,73,81,S,M,inferior
Nike,nike,caderas,88,96,S,M,inferior
Nike,nike,largo_pierna,82.5,82.5,S,M,inferior
Nike,nike,cintura,81,89,M,M,inferior
Nike,nike,caderas,96,104,M,M,inferior
Nike,nike,largo_pierna,83,83,M,M,inferior
Nike,nike,cintura,89,97,L,M,inferior
Nike,nike,caderas,104,112,L,M,inferior
Nike,nike,largo_pierna,83.5,83.5,L,M,inferior
Nike,nike,cintura,97,109,XL,M,inferior
Nike,nike,caderas,112,120,XL,M,inferior
Nike,nike,largo_pierna,84,84,XL,M,inferior
Nike,nike,cintura,109,121,2XL,M,inferior
Nike,nike,caderas,120,128,2XL,M,inferior
Nike,nike,largo_pierna,84.5,84.5,2XL,M,inferior
Nike,nike,cintura,121,133,3XL,M,inferior
Nike,nike,caderas,128,136,3XL,M,inferior
Nike,nike,largo_pierna,85,85,3XL,M,inferior
Nike,nike,cintura,133,145,4XL,M,inferior
Nike,nike,caderas,136,148,4XL,M,inferior
Nike,nike,largo_pierna,85.5,85.5,4XL,M,inferior
Nike,nike,cintura,60,67,XS,F,inferior
Nike,nike,caderas,84,91,XS,F,inferior
Nike,nike,largo_pierna,79.5,79.5,XS,F,inferior
Nike,nike,cintura,67,74,S,F,inferior
Nike,nike,caderas,91,98,S,F,inferior
Nike,nike,largo_pierna,79.5,79.5,S,F,inferior
Nike,nike,cintura,74,81,M,F,inferior
Nike,nike,caderas,98,105,M,F,inferior
Nike,nike,largo_pierna,80,80,M,F,inferior
Nike,nike,cintura,81,88,L,F,inferior
Nike,nike,caderas,105,112,L,F,inferior
Nike,nike,largo_pierna,80,80,L,F,inferior
Nike,nike,cintura,88,98,XL,F,inferior
Nike,nike,caderas,112,120,XL,F,inferior
Nike,nike,largo_pierna,80.5,80.5,XL,F,inferior
Nike,nike,cintura,98,108,XXL,F,inferior
Nike,nike,caderas,120,128,XXL,F,inferior
Nike,nike,largo_pierna,80.5,80.5,XXL,F,inferior
Nike,nike,cintura,98,108,1X,F,inferior
Nike,nike,caderas,120,128,1X,F,inferior
Nike,nike,largo_pierna,80.5,80.5,1X,F,inferior
Nike,nike,cintura,108,118,2X,F,inferior
Nike,nike,caderas,128,138,2X,F,inferior
Nike,nike,largo_pierna,80.5,80.5,2X,F,inferior
Nike,nike,cintura,118,128,3X,F,inferior
Nike,nike,caderas,138,148,3X,F,inferior
Nike,nike,largo_pierna,80.5,80.5,3X,F,inferior
Adidas,adidas,pecho,82,87,XS,M,top
Adidas,adidas,cintura,71,75,XS,M,top
Adidas,adidas,caderas,82,86,XS,M,top
Adidas,adidas,pecho,88,94,S,M,top
Adidas,adidas,cintura,76,82,S,M,top
Adidas,adidas,caderas,87,93,S,M,top
Adidas,adidas,pecho,95,102,M,M,top
Adidas,adidas,cintura,83,90,M,M,top
Adidas,adidas,caderas,94,101,M,M,top
Adidas,adidas,pecho,103,111,L,M,top
Adidas,adidas,cintura,91,999,L,M,top
Adidas,adidas,caderas,102,110,L,M,top
Adidas,adidas,pecho,112,121,XL,M,top
Adidas,adidas,cintura,100,109,XL,M,top
Adidas,adidas,caderas,111,119,XL,M,top
Adidas,adidas,pecho,122,132,2XL,M,top
Adidas,adidas,cintura,110,121,2XL,M,top
Adidas,adidas,caderas,120,128,2XL,M,top
Adidas,adidas,pecho,133,144,3XL,M,top
Adidas,adidas,cintura,122,134,3XL,M,top
Adidas,adidas,caderas,129,138,3XL,M,top
Adidas,adidas,busto,73,76,XXS,F,top
Adidas,adidas,cintura,57,60,XXS,F,top
Adidas,adidas,caderas,82,85,XXS,F,top
Adidas,adidas,busto,77,82,XS,F,top
Adidas,adidas,cintura,61,66,XS,F,top
Adidas,adidas,caderas,86,91,XS,F,top
Adidas,adidas,busto,83,88,S,F,top
Adidas,adidas,cintura,67,72,S,F,top
Adidas,adidas,caderas,92,97,S,F,top
Adidas,adidas,busto,89,94,M,F,top
Adidas,adidas,cintura,73,78,M,F,top
Adidas,adidas,caderas,98,103,M,F,top
Adidas,adidas,busto,95,101,L,F,top
Adidas,adidas,cintura,79,85,L,F,top
Adidas,adidas,caderas,104,110,L,F,top
Adidas,adidas,busto,102,109,XL,F,top
Adidas,adidas,cintura,86,94,XL,F,top
Adidas,adidas,caderas,111,117,XL,F,top
Adidas,adidas,busto,110,118,XXL,F,top
Adidas,adidas,cintura,94,104,XXL,F,top
Adidas,adidas,caderas,118,125,XXL,F,top
Adidas,adidas,busto,104,113,1X,F,top
Adidas,adidas,cintura,89,98,1X,F,top
Adidas,adidas,caderas,111,120,1X,F,top
Adidas,adidas,busto,114,123,2X,F,top
Adidas,adidas,cintura,99,108,2X,F,top
Adidas,adidas,caderas,121,130,2X,F,top
Adidas,adidas,busto,124,133,3X,F,top
Adidas,adidas,cintura,109,118,3X,F,top
Adidas,adidas,caderas,131,140,3X,F,top
Adidas,adidas,busto,134,143,4X,F,top
Adidas,adidas,cintura,119,128,4X,F,top
Adidas,adidas,caderas,141,150,4X,F,top
Adidas,adidas,cintura,71,75,XS,M,inferior
Adidas,adidas,caderas,82,86,XS,M,inferior
Adidas,adidas,largo_pierna,81,81,XS,M,inferior
Adidas,adidas,cintura,76,82,S,M,inferior
Adidas,adidas,caderas,87,93,S,M,inferior
Adidas,adidas,largo_pierna,81.5,81.5,S,M,inferior
Adidas,adidas,cintura,83,90,M,M,inferior
Adidas,adidas,caderas,94,101,M,M,inferior
Adidas,adidas,largo_pierna,82,82,M,M,inferior
Adidas,adidas,cintura,91,99,L,M,inferior
Adidas,adidas,caderas,102,110,L,M,inferior
Adidas,adidas,largo_pierna,82.5,82.5,L,M,inferior
Adidas,adidas,cintura,100,109,XL,M,inferior
Adidas,adidas,caderas,111,119,XL,M,inferior
Adidas,adidas,largo_pierna,83,83,XL,M,inferior
Adidas,adidas,cintura,110,121,2XL,M,inferior
Adidas,adidas,caderas,120,128,2XL,M,inferior
Adidas,adidas,largo_pierna,82.5,82.5,2XL,M,inferior
Adidas,adidas,cintura,122,134,3XL,M,inferior
Adidas,adidas,caderas,129,138,3XL,M,inferior
Adidas,adidas,largo_pierna,82,82,3XL,M,inferior
Adidas,adidas,cintura,87,60,XXS,F,inferior
Adidas,adidas,caderas,82,85,XXS,F,inferior
Adidas,adidas,largo_pierna,77.5,77.5,XXS,F,inferior
Adidas,adidas,cintura,61,66,XS,F,inferior
Adidas,adidas,caderas,86,91,XS,F,inferior
Adidas,adidas,largo_pierna,78,78,XS,F,inferior
Adidas,adidas,cintura,67,72,S,F,inferior
Adidas,adidas,caderas,92,97,S,F,inferior
Adidas,adidas,largo_pierna,78.5,78.5,S,F,inferior
Adidas,adidas,cintura,73,78,M,F,inferior
Adidas,adidas,caderas,98,103,M,F,inferior
Adidas,adidas,largo_pierna,79,79,M,F,inferior
Adidas,adidas,cintura,79,85,L,F,inferior
Adidas,adidas,caderas,104,110,L,F,inferior
Adidas,adidas,largo_pierna,79.5,79.5,L,F,inferior
Adidas,adidas,cintura,86,94,XL,F,inferior
Adidas,adidas,caderas,111,117,XL,F,inferior
Adidas,adidas,largo_pierna,80,80,XL,F,inferior
Adidas,adidas,cintura,94,104,XXL,F,inferior
Adidas,adidas,caderas,118,125,XXL,F,inferior
Adidas,adidas,largo_pierna,80.5,80.5,XXL,F,inferior
Adidas,adidas,cintura,89,98,1X,F,inferior
Adidas,adidas,caderas,111,120,1X,F,inferior
Adidas,adidas,largo_pierna,78,78,1X,F,inferior
Adidas,adidas,cintura,99,108,2X,F,inferior
Adidas,adidas,caderas,121,130,2X,F,inferior
Adidas,adidas,largo_pierna,78,78,2X,F,inferior
Adidas,adidas,cintura,109,118,3X,F,inferior
Adidas,adidas,caderas,131,140,3X,F,inferior
Adidas,adidas,largo_pierna,77,77,3X,F,inferior
Adidas,adidas,cintura,119,128,4X,F,inferior
Adidas,adidas,caderas,141,150,4X,F,inferior
Adidas,adidas,largo_pierna,76,76,4X,F,inferior
H&M,hm,pecho,80,84,XS,M,poleras
H&M,hm,cintura,68,72,XS,M,poleras
H&M,hm,pecho,88,92,S,M,poleras
H&M,hm,cintura,76,80,S,M,poleras
H&M,hm,pecho,96,100,M,M,poleras
H&M,hm,cintura,84,88,M,M,poleras
H&M,hm,pecho,104,108,L,M,poleras
H&M,hm,cintura,92,96,L,M,poleras
H&M,hm,pecho,112,116,XL,M,poleras
H&M,hm,cintura,100,104,XL,M,poleras
H&M,hm,pecho,120,124,2XL,M,poleras
H&M,hm,cintura,108,112,2XL,M,poleras
H&M,hm,pecho,84,84,XS,M,top
H&M,hm,cintura,72,72,XS,M,top
H&M,hm,pecho,88,92,S,M,top
H&M,hm,cintura,76,80,S,M,top
H&M,hm,pecho,96,100,M,M,top
H&M,hm,cintura,84,88,M,M,top
H&M,hm,pecho,104,108,L,M,top
H&M,hm,cintura,92,96,L,M,top
H&M,hm,pecho,112,166,XL,M,top
H&M,hm,cintura,100,104,XL,M,top
H&M,hm,pecho,120,124,2XL,M,top
H&M,hm,cintura,108,112,2XL,M,top
H&M,hm,caderas,90,90,XS,M,inferior
H&M,hm,largo_pierna,81,81,XS,M,inferior
H&M,hm,caderas,93,96,S,M,inferior
H&M,hm,largo_pierna,81,82,S,M,inferior
H&M,hm,caderas,99,102,M,M,inferior
H&M,hm,largo_pierna,82,83,M,M,inferior
H&M,hm,caderas,105,108,L,M,inferior
H&M,hm,largo_pierna,83,84,L,M,inferior
H&M,hm,caderas,111,114,XL,M,inferior
H&M,hm,largo_pierna,85,85,XL,M,inferior
H&M,hm,caderas,117,120,2XL,M,inferior
H&M,hm,largo_pierna,86,86,2XL,M,inferior
H&M,hm,pecho,76,80,XS,F,top
H&M,hm,cintura,60,64,XS,F,top
H&M,hm,pecho,84,88,S,F,top
H&M,hm,cintura,68,72,S,F,top
H&M,hm,pecho,92,96,M,F,top
H&M,hm,cintura,76,80,M,F,top
H&M,hm,pecho,100,104,L,F,top
H&M,hm,cintura,84,88,L,F,top
H&M,hm,pecho,110,116,XL,F,top
H&M,hm,cintura,94,100,XL,F,top
H&M,hm,pecho,122,128,2XL,F,top
H&M,hm,cintura,106,112,2XL,F,top
H&M,hm,pecho,134,140,3XL,F,top
H&M,hm,cintura,118,124,3XL,F,top
H&M,hm,pecho,146,152,4XL,F,top
H&M,hm,cintura,130,136,4XL,F,top
H&M,hm,caderas,84,88,XS,F,inferior
H&M,hm,largo_pierna,79,79,XS,F,inferior
H&M,hm,caderas,92,96,S,F,inferior
H&M,hm,largo_pierna,79,79,S,F,inferior
H&M,hm,caderas,100,104,M,F,inferior
H&M,hm,largo_pierna,79,79,M,F,inferior
H&M,hm,caderas,108,112,L,F,inferior
H&M,hm,largo_pierna,79,79,L,F,inferior
H&M,hm,caderas,117,122,XL,F,inferior
H&M,hm,largo_pierna,79,79,XL,F,inferior
H&M,hm,caderas,127,132,2XL,F,inferior
H&M,hm,largo_pierna,79,79,2XL,F,inferior
H&M,hm,caderas,137,142,3XL,F,inferior
H&M,hm,largo_pierna,79,79,3XL,F,inferior
H&M,hm,caderas,147,152,4XL,F,inferior
H&M,hm,largo_pierna,79,79,4XL,F,inferior
